wavelength value1 value2
795.2223100 1.5591137 1921.0000000
795.2667720 1.5590265 1913.0000000
795.3112340 1.5589393 1996.0000000
795.3556960 1.5588522 1998.0000000
795.4001580 1.5587651 2053.0000000
795.4446200 1.5586779 2191.0000000
795.4890820 1.5585908 2154.0000000
795.5335440 1.5585037 2168.0000000
795.5780060 1.5584166 2294.0000000
795.6224680 1.5583295 2271.0000000
795.6669300 1.5582424 2326.0000000
795.7113920 1.5581554 2483.0000000
795.7558540 1.5580683 2476.0000000
795.8003160 1.5579812 2567.0000000
795.8447780 1.5578942 2584.0000000
795.8892400 1.5578072 2684.0000000
795.9337020 1.5577202 2824.0000000
795.9781640 1.5576331 2835.0000000
796.0226260 1.5575461 2835.0000000
796.0670880 1.5574591 3003.0000000
796.1115500 1.5573722 3067.0000000
796.1560120 1.5572852 3313.0000000
796.2004740 1.5571982 3248.0000000
796.2449360 1.5571113 3490.0000000
796.2893980 1.5570243 3630.0000000
796.3338600 1.5569374 3770.0000000
796.3783220 1.5568505 3876.0000000
796.4227840 1.5567636 4066.0000000
796.4672460 1.5566767 4256.0000000
796.5117080 1.5565898 4300.0000000
796.5561700 1.5565029 4561.0000000
796.6006320 1.5564160 4748.0000000
796.6450940 1.5563291 4944.0000000
796.6895560 1.5562423 5386.0000000
796.7340180 1.5561554 5560.0000000
796.7784800 1.5560686 5978.0000000
796.8229420 1.5559818 6296.0000000
796.8674040 1.5558950 6640.0000000
796.9118660 1.5558081 7026.0000000
796.9563280 1.5557213 7513.0000000
797.0007900 1.5556346 7839.0000000
797.0452520 1.5555478 8400.0000000
797.0897140 1.5554610 9363.0000000
797.1341760 1.5553742 10286.0000000
797.1786380 1.5552875 10997.0000000
797.2231000 1.5552008 12078.0000000
797.2675620 1.5551140 13513.0000000
797.3120240 1.5550273 14773.0000000
797.3564860 1.5549406 16404.0000000
797.4009480 1.5548539 18002.0000000
797.4454100 1.5547672 20149.0000000
797.4898720 1.5546805 22540.0000000
797.5343340 1.5545938 25210.0000000
797.5787960 1.5545072 27827.0000000
797.6232580 1.5544205 30718.0000000
797.6677200 1.5543339 34270.0000000
797.7121820 1.5542473 37895.0000000
797.7566440 1.5541606 41421.0000000
797.8011060 1.5540740 44871.0000000
797.8455680 1.5539874 48615.0000000
797.8900300 1.5539008 52033.0000000
797.9344920 1.5538142 54820.0000000
797.9789540 1.5537277 58247.0000000
798.0234160 1.5536411 60984.0000000
798.0678780 1.5535545 62530.0000000
798.1123400 1.5534680 62965.0000000
798.1568020 1.5533814 62444.0000000
798.2012640 1.5532949 61656.0000000
798.2457260 1.5532084 59868.0000000
798.2901880 1.5531219 57223.0000000
798.3346500 1.5530354 54745.0000000
798.3791120 1.5529489 51709.0000000
798.4235740 1.5528624 48946.0000000
798.4680360 1.5527760 46764.0000000
798.5124980 1.5526895 44096.0000000
798.5569600 1.5526030 41556.0000000
798.6014220 1.5525166 38798.0000000
798.6458840 1.5524302 37166.0000000
798.6903460 1.5523438 35215.0000000
798.7348080 1.5522573 32711.0000000
798.7792700 1.5521709 30839.0000000
798.8237320 1.5520845 29415.0000000
798.8681940 1.5519982 28136.0000000
798.9126560 1.5519118 26668.0000000
798.9571180 1.5518254 25265.0000000
799.0015800 1.5517391 24703.0000000
799.0460420 1.5516527 23821.0000000
799.0905040 1.5515664 23287.0000000
799.1349660 1.5514801 22524.0000000
799.1794280 1.5513938 21881.0000000
799.2238900 1.5513074 21375.0000000
799.2683520 1.5512211 20951.0000000
799.3128140 1.5511349 20108.0000000
