wavelength value1 value2
788.2417760 1.5729209 202.0000000
788.2862380 1.5728322 235.0000000
788.3307000 1.5727435 221.0000000
788.3751620 1.5726548 219.0000000
788.4196240 1.5725661 228.0000000
788.4640860 1.5724774 210.0000000
788.5085480 1.5723887 207.0000000
788.5530100 1.5723001 241.0000000
788.5974720 1.5722114 205.0000000
788.6419340 1.5721228 222.0000000
788.6863960 1.5720342 217.0000000
788.7308580 1.5719456 224.0000000
788.7753200 1.5718570 209.0000000
788.8197820 1.5717684 206.0000000
788.8642440 1.5716798 217.0000000
788.9087060 1.5715912 216.0000000
788.9531680 1.5715026 211.0000000
788.9976300 1.5714141 222.0000000
789.0420920 1.5713255 219.0000000
789.0865540 1.5712370 227.0000000
789.1310160 1.5711484 232.0000000
789.1754780 1.5710599 229.0000000
789.2199400 1.5709714 239.0000000
789.2644020 1.5708829 243.0000000
789.3088640 1.5707944 227.0000000
789.3533260 1.5707060 218.0000000
789.3977880 1.5706175 233.0000000
789.4422500 1.5705290 255.0000000
789.4867120 1.5704406 251.0000000
789.5311740 1.5703521 232.0000000
789.5756360 1.5702637 252.0000000
789.6200980 1.5701753 249.0000000
789.6645600 1.5700869 248.0000000
789.7090220 1.5699985 241.0000000
789.7534840 1.5699101 241.0000000
789.7979460 1.5698217 267.0000000
789.8424080 1.5697334 245.0000000
789.8868700 1.5696450 239.0000000
789.9313320 1.5695566 278.0000000
789.9757940 1.5694683 248.0000000
790.0202560 1.5693800 248.0000000
790.0647180 1.5692917 264.0000000
790.1091800 1.5692033 267.0000000
790.1536420 1.5691150 277.0000000
790.1981040 1.5690268 248.0000000
790.2425660 1.5689385 257.0000000
790.2870280 1.5688502 280.0000000
790.3314900 1.5687620 275.0000000
790.3759520 1.5686737 243.0000000
790.4204140 1.5685855 268.0000000
790.4648760 1.5684972 259.0000000
790.5093380 1.5684090 279.0000000
790.5538000 1.5683208 270.0000000
790.5982620 1.5682326 271.0000000
790.6427240 1.5681444 258.0000000
790.6871860 1.5680562 271.0000000
790.7316480 1.5679681 288.0000000
790.7761100 1.5678799 260.0000000
790.8205720 1.5677918 290.0000000
790.8650340 1.5677036 303.0000000
790.9094960 1.5676155 290.0000000
790.9539580 1.5675274 278.0000000
790.9984200 1.5674392 305.0000000
791.0428820 1.5673511 300.0000000
791.0873440 1.5672631 289.0000000
791.1318060 1.5671750 292.0000000
791.1762680 1.5670869 297.0000000
791.2207300 1.5669988 305.0000000
791.2651920 1.5669108 298.0000000
791.3096540 1.5668228 324.0000000
791.3541160 1.5667347 299.0000000
791.3985780 1.5666467 332.0000000
791.4430400 1.5665587 318.0000000
791.4875020 1.5664707 324.0000000
791.5319640 1.5663827 303.0000000
791.5764260 1.5662947 309.0000000
791.6208880 1.5662067 337.0000000
791.6653500 1.5661188 348.0000000
791.7098120 1.5660308 319.0000000
791.7542740 1.5659429 356.0000000
791.7987360 1.5658549 333.0000000
791.8431980 1.5657670 321.0000000
791.8876600 1.5656791 337.0000000
791.9321220 1.5655912 328.0000000
791.9765840 1.5655033 348.0000000
792.0210460 1.5654154 354.0000000
792.0655080 1.5653276 390.0000000
792.1099700 1.5652397 395.0000000
792.1544320 1.5651518 336.0000000
792.1988940 1.5650640 366.0000000
792.2433560 1.5649762 359.0000000
792.2878180 1.5648883 395.0000000
792.3322800 1.5648005 355.0000000
792.3767420 1.5647127 390.0000000
792.4212040 1.5646249 390.0000000
792.4656660 1.5645371 386.0000000
792.5101280 1.5644494 386.0000000
792.5545900 1.5643616 391.0000000
792.5990520 1.5642738 411.0000000
792.6435140 1.5641861 423.0000000
792.6879760 1.5640984 402.0000000
792.7324380 1.5640106 388.0000000
792.7769000 1.5639229 409.0000000
792.8213620 1.5638352 432.0000000
792.8658240 1.5637475 434.0000000
792.9102860 1.5636598 470.0000000
792.9547480 1.5635722 437.0000000
792.9992100 1.5634845 428.0000000
793.0436720 1.5633968 481.0000000
793.0881340 1.5633092 433.0000000
793.1325960 1.5632216 431.0000000
793.1770580 1.5631339 468.0000000
793.2215200 1.5630463 451.0000000
793.2659820 1.5629587 480.0000000
793.3104440 1.5628711 484.0000000
793.3549060 1.5627835 460.0000000
793.3993680 1.5626959 487.0000000
793.4438300 1.5626084 541.0000000
793.4882920 1.5625208 503.0000000
793.5327540 1.5624333 527.0000000
793.5772160 1.5623457 508.0000000
793.6216780 1.5622582 506.0000000
793.6661400 1.5621707 545.0000000
793.7106020 1.5620832 567.0000000
793.7550640 1.5619957 574.0000000
793.7995260 1.5619082 516.0000000
793.8439880 1.5618207 561.0000000
793.8884500 1.5617332 572.0000000
793.9329120 1.5616458 557.0000000
793.9773740 1.5615583 605.0000000
794.0218360 1.5614709 578.0000000
794.0662980 1.5613834 607.0000000
794.1107600 1.5612960 640.0000000
794.1552220 1.5612086 666.0000000
794.1996840 1.5611212 590.0000000
794.2441460 1.5610338 648.0000000
794.2886080 1.5609464 666.0000000
794.3330700 1.5608591 624.0000000
794.3775320 1.5607717 696.0000000
794.4219940 1.5606843 705.0000000
794.4664560 1.5605970 650.0000000
794.5109180 1.5605097 683.0000000
794.5553800 1.5604223 728.0000000
794.5998420 1.5603350 723.0000000
794.6443040 1.5602477 736.0000000
794.6887660 1.5601604 718.0000000
794.7332280 1.5600731 791.0000000
794.7776900 1.5599859 780.0000000
794.8221520 1.5598986 801.0000000
794.8666140 1.5598114 827.0000000
794.9110760 1.5597241 816.0000000
794.9555380 1.5596369 837.0000000
795.0000000 1.5595496 825.0000000
795.0444620 1.5594624 887.0000000
795.0889240 1.5593752 898.0000000
795.1333860 1.5592880 888.0000000
795.1778480 1.5592008 880.0000000
795.2223100 1.5591137 934.0000000
795.2667720 1.5590265 948.0000000
795.3112340 1.5589393 921.0000000
795.3556960 1.5588522 973.0000000
795.4001580 1.5587651 937.0000000
795.4446200 1.5586779 1025.0000000
795.4890820 1.5585908 1000.0000000
795.5335440 1.5585037 1006.0000000
795.5780060 1.5584166 1051.0000000
795.6224680 1.5583295 1039.0000000
795.6669300 1.5582424 1071.0000000
795.7113920 1.5581554 1120.0000000
795.7558540 1.5580683 1077.0000000
795.8003160 1.5579812 1107.0000000
795.8447780 1.5578942 1107.0000000
795.8892400 1.5578072 1166.0000000
795.9337020 1.5577202 1212.0000000
795.9781640 1.5576331 1173.0000000
796.0226260 1.5575461 1248.0000000
796.0670880 1.5574591 1284.0000000
796.1115500 1.5573722 1296.0000000
796.1560120 1.5572852 1293.0000000
796.2004740 1.5571982 1326.0000000
796.2449360 1.5571113 1411.0000000
796.2893980 1.5570243 1375.0000000
796.3338600 1.5569374 1390.0000000
796.3783220 1.5568505 1396.0000000
796.4227840 1.5567636 1431.0000000
796.4672460 1.5566767 1459.0000000
796.5117080 1.5565898 1497.0000000
796.5561700 1.5565029 1496.0000000
796.6006320 1.5564160 1497.0000000
796.6450940 1.5563291 1526.0000000
796.6895560 1.5562423 1592.0000000
796.7340180 1.5561554 1649.0000000
796.7784800 1.5560686 1531.0000000
796.8229420 1.5559818 1634.0000000
796.8674040 1.5558950 1619.0000000
796.9118660 1.5558081 1674.0000000
796.9563280 1.5557213 1741.0000000
797.0007900 1.5556346 1807.0000000
797.0452520 1.5555478 1703.0000000
797.0897140 1.5554610 1739.0000000
797.1341760 1.5553742 1862.0000000
797.1786380 1.5552875 1876.0000000
797.2231000 1.5552008 1947.0000000
797.2675620 1.5551140 1952.0000000
797.3120240 1.5550273 1980.0000000
